Center,Metric,Model,SimValueMean,SimValueMin,SimValueMax,SimIntvlWidth,TheoValue,WithinIntvl
CheckIn,Response time,M/M/8,137.9006498873718,135.78529469362374,140.01600508111986,2.115355193748058,139.31294699422259,within
CheckIn,Queue time,M/M/8,17.871253044123794,16.34815375795518,19.394352330292406,1.5230992861686112,19.312946994222578,within
CheckIn,Num in center,M/M/8,6.810802287185106,6.690028754628678,6.931575819741534,0.12077353255642793,6.861352159949873,within
CheckIn,Num in queue,M/M/8,0.8858200503164181,0.8074590851949326,0.9641810154379036,0.0783609651214855,0.9511889126809004,within
CheckIn,Num of busy servers,M/M/8,5.924982236868687,5.873614704861576,5.9763497688757985,0.05136753200711154,5.910163247268972,within
Varchi,Response time,M/M/4,16.044816894690637,15.910449398742958,16.179184390638316,0.13436749594767908,16.09075187952856,within
Varchi,Queue time,M/M/4,1.06686744018174,0.9991098090525856,1.1346250713108943,0.06775763112915428,1.0907518795285602,within
Varchi,Num in center,M/M/4,2.0496501887961083,2.025721936268527,2.0735784413236895,0.023928252527581087,2.0468241464008186,within
Varchi,Num in queue,M/M/4,0.13666336722024852,0.12766250164766021,0.14566423279283683,0.009000865572588298,0.13874909646649436,within
Varchi,Num of busy servers,M/M/4,1.9129868215758596,1.895301913442949,1.9306717297087703,0.01768490813291068,1.908075049934324,within
FastTrack,Response time,M/M/2,91.34578885290823,88.56381663026555,94.12776107555091,2.781972222642673,92.20943477817258,within
FastTrack,Queue time,M/M/2,46.46968222693523,43.847514438839596,49.09185001503086,2.622167788095627,47.209434778172586,within
FastTrack,Num in center,M/M/2,2.9166700053046277,2.8174723230840715,3.015867687525184,0.0991976822205563,2.9323753644796238,within
FastTrack,Num in queue,M/M/2,1.4870564893488334,1.3982535911684981,1.5758593875291687,0.08880289818033534,1.5013190770288811,within
FastTrack,Num of busy servers,M/M/2,1.4296135159557943,1.4167338492816297,1.442493182629959,0.012879666674164628,1.4310562874507429,within
XRay,Response time,M/M/6,320.5304652770606,271.4432550515593,369.61767550256195,49.08721022550133,250.6155990284911,not within
XRay,Queue time,M/M/6,260.10277599365367,211.10124977955746,309.10430220774987,49.00152621409621,190.6155990284911,not within
XRay,Num in center,M/M/6,31.02820015160322,26.13908754355564,35.9173127596508,4.889112608047578,23.909668581530433,not within
XRay,Num in queue,M/M/6,25.2504300735182,20.38709990532196,30.113760241714438,4.86333016819624,18.18544343172746,not within
XRay,Num of busy servers,M/M/6,5.7777700780850125,5.73616152393556,5.819378632234465,0.04160855414945245,5.724225149802972,not within
TraceDetection,Response time,M/M/2,70.55138292348347,69.86568664574948,71.23707920121747,0.6856962777339993,70.22718624589993,within
TraceDetection,Queue time,M/M/2,10.44273918938194,9.982714098378533,10.902764280385348,0.4600250910034081,10.227186245899933,within
TraceDetection,Num in center,M/M/2,0.9013690895777934,0.8894028967705366,0.9133352823850501,0.011966192807256719,0.8933249460192839,within
TraceDetection,Num in queue,M/M/2,0.13371224562027081,0.12740157127193766,0.14002291996860397,0.006310674348333157,0.1300949260455543,within
TraceDetection,Num of busy servers,M/M/2,0.7676568439575225,0.7607549376467254,0.7745587502683197,0.006901906310797085,0.7632300199737296,within
Recupero,Response time,M/M/inf,120.05529743218261,119.42670021681693,120.6838946475483,0.6285972153656877,120.0,within
Recupero,Num in center,M/M/inf,15.339309924043448,15.2067543224393,15.471865525647596,0.1325556016041481,15.264447753470598,within
